AT,AP,AH,AFDP,CDP,GTEP,P_oil,P_suc,P_dis,TIT,TAT,T_bearing,T_oil,m_fuel,m_air,V_shaft,N1,P_out,CO,N2,EGT,dEGT,HR,SM,NOx,EGT_Expected,EGT_norm,SM_prox,eta_resid,AFDP_ma,dP_filter,V_harm_1x,V_harm_2x,fault_type
3.0,980.0,20.0,8.0,16.0,15.0,2.0,5.0,20.0,1000.0,500.0,60.0,40.0,1000.0,100.0,10.0,68.039,180.0,50.0,62.48679902352018,450.0,3.4113045529455004,9000.0,23.422439609626895,20.0,691.6,0.6506651243493349,0.21925201301243682,-1.0,8.0,0.0,10.062865110546698,5.120954467222675,normal
3.0,980.0,20.0,8.0,16.0,15.0,2.0,5.0,20.0,1000.0,500.0,60.0,40.0,1000.0,100.0,10.0,68.264,180.0,50.0,62.36007064293802,450.0,3.0876876077692845,9000.0,23.19719300741973,20.0,691.6,0.6506651243493349,0.22676023308600896,-1.0,8.0,0.0,9.933947568354348,5.287566350225406,normal
3.0,980.0,20.0,8.0,16.0,15.0,2.0,5.0,20.0,1000.0,500.0,60.0,40.0,1000.0,100.0,10.0,68.595,180.0,50.0,61.624356644257404,450.0,4.875311347068612,9000.0,23.741020926156573,20.0,691.6,0.6506651243493349,0.20863263579478092,-1.0,8.0,0.0,10.320211325221642,5.115652976664186,normal
3.0,980.0,20.0,8.0,16.0,15.0,2.0,5.0,20.0,1000.0,500.0,60.0,40.0,1000.0,100.0,10.0,68.628,180.0,50.0,62.171357640038714,450.0,5.221689832821708,9000.0,23.118448795889606,20.0,691.6,0.6506651243493349,0.22938504013701314,-1.0,8.0,0.0,10.052450058576522,4.543894968938473,normal
3.0,980.0,20.0,8.0,16.0,15.0,2.0,5.0,20.0,1000.0,500.0,60.0,40.0,1000.0,100.0,10.0,68.868,180.0,50.0,61.402631200945955,450.0,3.131599133482229,9000.0,23.381590195385957,20.0,691.6,0.6506651243493349,0.22061366015380143,-1.0,8.0,0.0,9.732165313419443,5.316874553335591,normal
3.0,980.0,20.0,8.0,16.0,15.0,2.0,5.0,20.0,1000.0,500.0,60.0,40.0,1000.0,100.0,10.0,68.972,180.0,50.0,61.38953244103844,450.0,5.5807869539323445,9000.0,23.7993555060839,20.0,691.6,0.6506651243493349,0.20668814979720337,-1.0,8.0,0.0,10.180797527454741,5.156231100327404,normal
3.0,980.0,20.0,8.0,16.0,15.0,2.0,5.0,20.0,1000.0,500.0,60.0,40.0,1000.0,100.0,10.0,68.512,180.0,50.0,61.37143988356452,450.0,5.959170682311946,9000.0,23.349327578266063,20.0,691.6,0.6506651243493349,0.22168908072446455,-1.0,8.0,0.0,10.652000022565069,4.8120663676239,normal
3.0,980.0,20.0,8.0,16.0,15.0,2.0,5.0,20.0,1000.0,500.0,73.08117698276656,51.98253922447133,1000.0,100.0,29.882418183447,68.566,180.0,50.0,62.53071488200006,450.0,6.583372931317346,9000.0,23.526262353357442,20.0,691.6,0.6506651243493349,0.21579125488808526,-1.0,8.0,0.0,10.473540481564621,5.203391336468723,bearing tube
3.0,980.0,20.0,8.0,16.0,15.0,2.0,5.0,20.0,1000.0,500.0,60.0,40.0,1000.0,100.0,10.0,68.697,180.0,50.0,62.38160782519056,450.0,7.556641813439645,9000.0,23.690157470094846,20.0,691.6,0.6506651243493349,0.2103280843301718,-1.0,8.0,0.0,9.648132382096504,5.127600338665127,normal
3.0,980.0,20.0,8.0,16.0,15.0,2.0,5.0,20.0,1000.0,500.0,73.34277671628368,40.78774200040089,1000.0,100.0,16.722845994554937,68.854,180.0,50.0,61.927843707661964,450.0,2.267167722681122,9000.0,23.50874390654889,20.0,691.6,0.6506651243493349,0.216375203115037,-1.0,8.0,0.0,9.367289264476973,5.102946373829434,bearing tube
